Station_number,longitude,avrg_solar_exposure
9194,115.8075,19.183234390992837
9225,115.8728,19.32967242539825
14825,131.0145,22.51813720679164
14909,133.0861,22.091625193066758
22823,136.5959,16.64494584837545
22050,137.6628,18.096929395658126
23000,138.5832,17.288875797741778
24518,139.3375,17.211311861743912
81049,145.2672,17.455421331761933
85291,146.2747,14.210493827160494
71032,148.2859,15.358064197530863
70351,149.2004,16.899655765920826
63292,150.2741,16.1062493858701
67105,150.7761,16.169098805646037
66062,151.205,16.376048727772865
41525,152.1003,18.945711719802425
40913,153.0389,18.378455172413794
58208,153.0618,17.910611343561133
40043,153.4661,19.491721496612
